snt_id,pragmatics,section,para,chinese_offset
1,,1,0,7.47
2,,1,0,11.3
3,,1,0,14.07
4,死亡,1,1,19.93
5,,1,1,26.22
6,,1,2,34.13
7,,1,2,35.98
8,,1,3,44
9,成人和儿童如何以不同的方式看待世界成人们看到的是帽子忽略图画背后的真实故事蟒蛇吞象成人往往丢失了他们的想象力和深入事物表面的能力而孩子们的想象力丰富能看到超越表面,1,4,49.6
10,,1,5,51.7
11,,1,5,54.39
12,那些没有诗意或想象力的人小王子和飞行员因绘画建立深厚友谊通过想象的语言交流小王子请求画羊来解决猴面包树问题飞行员认真对待进入孩子的世界,1,5,61.97
13,那些没有诗意或想象力的人小王子和飞行员通过画作建立友谊用想象的语言交流飞行员认真对待小王子的需求进入孩子的世界在沙漠中经历考验彼此理解认同画作的重要性,1,5,64.53
14,社会常常强调实用性和现实主义而忽略或压制个人的创造力和想象力大人们劝导作者放弃绘画转而关注传统学科社会对于个人天赋的忽视和对实用主义的偏好,1,6,77.91
15,,1,6,83.63
16,,1,6,87.82
17,小王子和飞行员通过画作建立友谊用想象的语言交流飞行员认真对待小王子的需求进入孩子的世界在沙漠中经历考验彼此理解认同画作的重要性,1,6,93.93
18,,1,7,99.46
19,,1,7,101.71
20,,1,7,104.78
21,,1,7,107.7
22,,1,7,110.7
23,,1,8,115.83
24,,1,8,118.51
25,,1,8,120.52
26,,1,8,124.18
27,,1,9,132.24
28,大人们始终无法理解孩子们的内心世界,1,9,135.59
29,,1,9,139.44
30,,1,9,144.33
31,,1,9,146.27
32,,1,9,150.76
33,个体为了适应社会或被社会接纳而牺牲自己真正的兴趣和个性社会常常要求个体顺应主流价值观放弃自己的独特性和创造性,1,9,156.02
34,生活出现了困境,1,10,165.43
35,,1,10,175.31
36,,1,10,178.56
37,,1,10,181.7
38,内心的孤独和寻找生命中真正重要事物的旅程,1,11,186.15
39,,1,11,190.54
40,,1,11,198.41
41,纯真与简单的生活引导成人进入儿童的世界一个充满想象和创造的世界通过这个请求小王子不仅仅是要求得到一只羊的画更是在邀请飞行员打开心门重新发现那份被成人世界遗忘的纯真和想象力,1,12,203.43
42,,1,13,204.58
43,,1,14,206.44
44,,1,15,210.66
45,,1,15,212.91
46,,1,15,213.88
47,,1,15,218.33
48,,1,15,222.14
49,,1,15,227.34
50,,1,15,229.17
51,,1,15,238.96
52,,1,16,243.49
53,,1,16,248.43
54,,1,16,256.59
55,小王子虽然处于远离人烟的荒凉之地却没有显示出任何迷路疲惫饥渴或恐惧的迹象内在力量和自信的象征即使在面对困难和孤独的情况下也能保持镇定和勇气,1,16,261.36
56,,1,17,268.91
57,,1,18,283.25
58,,1,19,293.68
