snt_id,cn_snts,section,chinese_offset
1,当 我 还 只有 六 岁 的 时候 在 一 本 描写 原始 森林 的 名 叫 真实 的 故事 的 书 中 看到 了 一 幅 精彩 的 插画,1,7.47
2,画 的 是 一 条 蟒蛇 正在 吞食 一 只 大 野兽,1,11.3
3,页头 上 就 是 那 幅 画 的 摹本,1,14.07
4,这 本 书 中 写道 这些 蟒蛇 把 它们 的 猎获物 不加 咀嚼 地 囫囵 吞下,1,19.93
5,尔后 就 不 能 再 动弹 了 它们 就 在 长长 的 六 个 月 的 睡眠 中 消化 这些 食物,1,26.22
6,当时 我 对 丛林 中 的 奇遇 想 得 很 多 于是 我 也 用 彩色 铅笔 画 出 了 我 的 第一 幅 图画,1,34.13
7,我 的 第一 号 作品,1,35.98
8,它 是 这样 的 我 把 我 的 这 幅 杰作 拿 给 大人 看 我 问 他们 我 的 画 是 不 是 叫 他们 害怕,1,44
9,他们 回答 我 说 害怕 一 顶 帽子 有 什么 可怕 的,1,49.6
10,我 画 的 不 是 帽子,1,51.7
11,是 一 条 巨蟒 在 消化 着 一 头 大象,1,54.39
12,既然 大人们 不 能够 理解 于是 我 又 把 巨蟒 肚子 里 的 情况 画 了 出来 以便 让 大人们 能够 看懂,1,61.97
13,这些 大人 总是 需要 解释,1,64.53
14,我 的 第二 号 作品 是 这样 的 大人们 劝 我 把 这些 画 着 开 着 肚皮 的 或 闭上 肚皮 的 蟒蛇 的 图画 放在 一边 还是 把 兴趣 放 在 地理 历史 算术 语法 上,1,77.91
15,就 这样 在 六 岁 的 那 年 我 就 放弃 了 当 画家 这 一 美好 的 职业,1,83.63
16,我 的 第一 号 第二 号 作品 的 不 成功 使 我 泄 了 气,1,87.82
17,这些 大人们 靠 他们 自己 什么 也 弄 不 懂 还 得 老是 不断 地 给 他们 作 解释,1,93.93
18,后来 我 只好 选择 了 另外 一 个 职业 我 学会 了 开 飞机,1,99.46
19,世界 各 地 差不多 都 飞到 过,1,101.71
20,的确 地理学 帮 了 我 很 大 的 忙,1,104.78
21,我 一眼 就 能 分辨 出 中国 和 亚利桑那,1,107.7
22,要是 夜里 迷失 了 航向 这 是 很 有用 的,1,110.7
23,这样 在 我 的 生活 中 我 跟 许多 严肃 的 人 有 过 很多 的 接触,1,115.83
24,我 在 大人们 中间 生活 过 很 长 时间,1,118.51
25,我 仔细 地 观察 过 他们,1,120.52
26,但 这 并没有 使 我 对 他们 的 看法 有 多 大 的 改变,1,124.18
27,当 我 遇到 一 个 头脑 看来 稍微 清楚 的 大人 时 我 就 拿出 一直 保存 着 的 我 那 第一 号 作品 来 测试 测试 他,1,132.24
28,我 想 知道 他 是否 真的 有 理解 能力,1,135.59
29,可是 得到 的 回答 总 是 这 是 顶 帽子,1,139.44
30,我 就 不 和 他 谈 巨蟒 呀 原始 森林 呀 或者 星星 之类 的 事,1,144.33
31,我 只得 迁就 他 的 水平,1,146.27
32,和 他们 谈 些 桥牌 呀 高尔夫球 呀 政治 呀 领带 呀 这些,1,150.76
33,于是 大人们 就 十分 高兴 能 认识 我 这样 一 个 通情达理 的 人,1,156.02
34,我 就 这样 孤独 地 生活 着 没有 一 个 能 真正 谈 得 来 的 人 一直 到 六 年 前 在 撒哈拉 沙漠 上 发生 了 那 次 故障,1,165.43
35,我 的 发动机 里 有 个 东西 损坏 了 当时 由于 我 既 没有 带 机械师 也 没有 带 旅客 我 就 试图 独自 完成 这个 困难 的 维修 工作,1,175.31
36,这 对 我 来说 是 个 生 与 死 的 问题,1,178.56
37,我 随身 带 的 水 只 够 饮用 一 星期,1,181.7
38,第一 天 晚上 我 就 睡 在 这 远离 人间 烟火 的 大 沙漠 上,1,186.15
39,我 比 大海 中 伏 在 小 木排 上 的 遇难者 还 要 孤独 得 多,1,190.54
40,而 在 第二 天 拂晓 当 一 个 奇怪 的 小 声音 叫醒 我 的 时候 你们 可以 想见 我 当时 是 多么 吃惊,1,198.41
41,这 小小 的 声音 说道 请 你 给 我 画 一 只 羊 好 吗,1,203.43
